Category,Test_Name,PHMCOLD_high,PHMHOT_high,CLASSCOLD_high,CLASSHOT_high,ALL_high,PHMCOLD_low,PHMHOT_low,CLASSCOLD_low,CLASSHOT_low,ALL_low
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_CPU_XDP_ENABLE,-0.1,-0.1,-0.1,-0.1,-0.1,-1.5,-1.5,-1.5,-1.5,-1.5
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_1,-0.1,-0.1,-0.1,-0.1,-0.1,-1.2852752,-1.0519044,-1.2852752,-1.0419044,-1.2852752
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_10,-0.4695284,-0.304821,-0.4695284,-0.304821,-0.304821,-0.9813156,-0.678919,-0.9813156,-0.668919,-0.9813156
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_11,-0.5788373,-0.6303133,-0.5788373,-0.6303133,-0.5788373,-0.9794287,-0.7860887,-0.9794287,-0.7760887,-0.9794287
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_12_P,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_13,-0.2581719,-0.2087996,-0.2581719,-0.2087996,-0.2087996,-0.6125131,-0.5387344,-0.6125131,-0.5287344,-0.6125131
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_1_P,-0.024796,-0.0393348,-0.024796,-0.0393348,-0.024796,-0.9446894,-0.6607812,-0.9446894,-0.6507812,-0.9446894
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_2,-0.4189477,-0.3912401,-0.4189477,-0.3912401,-0.3912401,-0.6979773,-0.6922159,-0.6979773,-0.6822159,-0.6979773
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_3,-0.2751087,-0.4919155,-0.2751087,-0.4919155,-0.2751087,-1.1454663,-0.7835725,-1.1454663,-0.7735725,-1.1454663
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_4_2mA,-0.4,-0.7235558,-0.4,-0.7109369,-0.4,-0.9220567,-0.7960222,-0.9220567,-0.7866442,-0.9220567
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_4_2mA_P,-0.8717126,-0.7241323,-0.8717126,-0.7241323,-0.7241323,-0.9251234,-0.7927117,-0.9251234,-0.7827117,-0.9251234
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_5,-0.7909542,-0.7030646,-0.7909542,-0.7030646,-0.7030646,-0.9633878,-0.7744494,-0.9633878,-0.7644494,-0.9633878
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_5_P,-0.7881708,-0.7007473,-0.7881708,-0.7007473,-0.7007473,-0.9356532,-0.7798187,-0.9356532,-0.7698187,-0.9356532
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_6,-0.8252945,-0.7435674,-0.8252945,-0.7435674,-0.7435674,-0.9586115,-0.780,-0.9586115,-0.7678546,-0.9586115
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_7,-0.2506636,-0.1437663,-0.2506636,-0.1437663,-0.1437663,-0.5685044,-0.4457807,-0.5685044,-0.4357807,-0.5685044
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_7_P,-0.2605087,-0.1883373,-0.2605087,-0.1883373,-0.1883373,-0.5369913,-0.4717247,-0.5369913,-0.4617247,-0.5369913
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_8,-0.4378639,-0.4,-0.4378639,-0.4,-0.4,-1.3001121,-0.8001762,-1.3001121,-0.7901762,-1.3001121
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_9,-0.8300816,-0.7239493,-0.8300816,-0.7239493,-0.7239493,-0.8962984,-0.7687847,-0.8962984,-0.7587847,-0.8962984
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_10,-0.1349467,-0.0546924,-0.1349467,-0.0546924,-0.0546924,-0.4581633,-0.3840416,-0.4581633,-0.3740416,-0.4581633
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_11_P,-0.1,-0.1585729,-0.1,-0.1585729,-0.1,-1.3100484,-0.8754451,-1.3100484,-0.8654451,-1.3100484
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_12,-0.1796331,-0.1423606,-0.1796331,-0.1423606,-0.1423606,-0.9437949,-0.8783434,-0.9437949,-0.8683434,-0.9437949
LOWERDIODE,SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_13,-0.1,-0.1491512,-0.1,-0.1491512,-0.1,-1.3076325,-0.8813948,-1.3076325,-0.8713948,-1.3076325
