Category,Test_Name,Limit_High,Limit_Low
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_CPU_XDP_ENABLE,-0.1,-1.5
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_1,-0.1,-1.0419044
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_10,-0.304821,-0.668919
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_11,-0.6303133,-0.7760887
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_12,-0.017,-1.49
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_12_P,-0.017,-1.49
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_13,-0.2087996,-0.5287344
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_1_P,-0.0393348,-0.6507812
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_2,-0.3912401,-0.6822159
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_3,-0.4919155,-0.7735725
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_4_2mA,-0.7109369,-0.7866442
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_4_2mA_P,-0.7241323,-0.7827117
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_5,-0.7030646,-0.7644494
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_5_P,-0.7007473,-0.7698187
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_6,-0.7435674,-0.7678546
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_7,-0.1437663,-0.4357807
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_7_P,-0.1883373,-0.4617247
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_8,-0.4,-0.7901762
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_CPU_9,-0.7239493,-0.7587847
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_1,-0.2,-1.3
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_10,-0.0546924,-0.3740416
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_11_P,-0.1585729,-0.8654451
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_12,-0.1423606,-0.8683434
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_13,-0.1491512,-0.8713948
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_2,-0.65,-0.7686038
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_3,-0.7140678,-0.7588242
LOWERDIODE,TPI_SHOPS::SHOPS_X_X_X_START_X_X_X_X_LOWERDIODE_GROUP_PCH_4_2M,-0.5,-0.8141646
