Pin_Group,Pin_Name
all_clock_pins,XXHPTP_CPU_CLK_RX_0__EC
all_clock_pins,XXHPTP_CPU_CLK_RX_1__EC
all_clock_pins,XXJTAG_CPU_TCK__EC
all_clock_pins,XXJTAG_PCD_TCK__EC
all_clock_pins,XXJTAG_GCD_TCK__EC
all_clock_pins,XXHPTP_PCD_CLK__EC
all_clock_pins,XXGCD_TP_CLK_IN__EC
all_clock_pins,ZZGCD_TP_CLK_IN_SRT__EC
all_clock_pins,XXCLKOUT_SOC_0_N__EC
all_clock_pins,XXCLKOUT_SOC_0_P__EC
all_clock_pins,XXCLKOUT_SOC_1_N__EC
all_clock_pins,XXCLKOUT_SOC_1_P__EC
all_clock_pins,XXCLKOUT_SOC_2_N__EC
all_clock_pins,XXCLKOUT_SOC_2_P__EC
all_clock_pins,XXCLKOUT_SOC_3_N__EC
all_clock_pins,XXCLKOUT_SOC_3_P__EC
all_clock_pins,XXCLKOUT_SOC_4_N__EC
all_clock_pins,XXCLKOUT_SOC_4_P__EC
all_clock_pins,XXCLKOUT_SOC_5_N__EC
all_clock_pins,XXCLKOUT_SOC_5_P__EC
all_clock_pins,XXCLKOUT_SOC_6_N__EC
all_clock_pins,XXCLKOUT_SOC_6_P__EC
all_clock_pins,XXCLKOUT_SOC_7_N__EC
all_clock_pins,XXCLKOUT_SOC_7_P__EC
all_clock_pins,XXCLKOUT_SOC_8_N__EC
all_clock_pins,XXCLKOUT_SOC_8_P__EC
all_clock_pins,XXTAMCLK__EC
all_clock_pins,XXSSN_IN_CLK__EC
all_clock_pins,XXSSN_OUTIN_CLK__EC
all_clock_pins,XXPCIE5_REF_PAD_CLK_N__EC
all_clock_pins,XXPCIE5_REF_PAD_CLK_P__EC
all_clock_pins,XXRTCX1__EC
all_clock_pins,XXXTAL_IN__EC
all_clock_pins,XXXTAL_OUT__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_0_N__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_0_P__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_1_N__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_1_P__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_2_N__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_2_P__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_3_N__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_3_P__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_4_N__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_4_P__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_5_N__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_5_P__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_6_N__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_6_P__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_7_N__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_7_P__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_8_N__EC
lvl_all_0p7_pch_ec,XXCLKOUT_SOC_8_P__EC
lvl_all_0p7_pch_ec,XXPCIE5_REF_PAD_CLK_N__EC
lvl_all_0p7_pch_ec,XXPCIE5_REF_PAD_CLK_P__EC
lvl_all_0p8_pch_ec,XXHPTP_PCD_CLK__EC
lvl_all_1p25_pch_ec_minus_xtalin,XXJTAG_PCD_TCK__EC
lvl_all_1p25_pch_ec_minus_xtalin,XXXTAL_OUT__EC
